X,Y
1117, 172
726, 317
64, 466
780, 341
1095, 343
1128, 340
833, 303
741, 101
132, 376
1104, 109
698, 174
68, 119
1347, 151
621, 95
868, 272
43, 345
14, 460
1123, 50
1071, 286
726, 191
32, 345
402, 111
397, 9
734, 309
1066, 279
1414, 154
1113, 324
1422, 352
308, 27
1486, 385
1470, 47
332, 191
1084, 318
1143, 199
50, 153
860, 241
1193, 368
376, 366
324, 419
806, 398
291, 41
463, 460
2, 469
781, 400
844, 490
703, 457
32, 185
385, 469
344, 361
1167, 44
1480, 295
77, 479
1168, 215
1108, 405
1488, 413
714, 252
327, 342
836, 11
1230, 395
1168, 428
15, 31
1070, 482
430, 41
259, 145
1132, 105
367, 159
621, 283
93, 326
429, 354
2, 345
353, 165
1136, 326
797, 358
112, 13
425, 381
1078, 330
399, 75
1114, 82
1276, 264
364, 443
1233, 493
727, 247
1086, 8
488, 312
6, 31
1256, 402
638, 314
1475, 206
1153, 204
851, 46
685, 263
363, 459
643, 139
611, 70
789, 67
727, 215
23, 135
1243, 63
1147, 323
488, 169
47, 152
1450, 182
1456, 160
341, 414
818, 431
343, 195
771, 175
1079, 322
677, 310
408, 357
310, 372
713, 141
1102, 461
895, 326
1454, 315
786, 409
1485, 302
1463, 212
231, 88
1386, 351
1214, 251
674, 237
425, 152
1093, 215
815, 369
1488, 44
536, 205
319, 326
797, 447
1204, 47
1047, 491
676, 454
1464, 105
757, 450
315, 8
1435, 192
768, 61
744, 358
1147, 111
1161, 239
454, 415
1080, 357
791, 154
745, 15
697, 471
1475, 119
759, 142
1136, 160
697, 317
2, 48
740, 257
62, 43
1115, 346
1393, 349
759, 8
1028, 65
902, 118
364, 28
918, 499
834, 499
1193, 63
460, 307
247, 62
807, 240
994, 474
1129, 345
747, 329
344, 309
708, 188
15, 215
17, 422
740, 471
311, 467
440, 68
784, 355
292, 121
1225, 276
1179, 260
393, 55
855, 492
728, 311
852, 215
1121, 48
795, 225
471, 68
821, 170
1062, 454
50, 49
1497, 194
771, 314
411, 439
404, 233
1242, 293
321, 73
1472, 17
1495, 26
798, 492
1484, 412
1231, 182
1065, 67
727, 339
415, 213
429, 402
676, 498
1482, 374
1498, 39
1409, 353
670, 320
459, 23
474, 16
1153, 165
1167, 200
1468, 442
11, 307
154, 144
355, 59
839, 476
808, 139
349, 403
35, 400
68, 70
696, 424
345, 404
1429, 160
1102, 406
1112, 133
882, 33
1491, 172
487, 476
788, 246
829, 376
1285, 465
1465, 434
833, 339
266, 152
308, 103
405, 219
441, 472
814, 454
472, 9
1070, 289
386, 419
1098, 360
1018, 231
1117, 33
743, 273
438, 135
1215, 32
46, 13
1117, 119
648, 392
1490, 457
1134, 366
1175, 368
833, 92
28, 62
77, 158
659, 100
1078, 350
370, 277
598, 66
1422, 50
34, 427
1158, 399
1133, 470
1422, 131
1210, 146
489, 265
1275, 196
1463, 146
1445, 107
389, 281
1493, 228
1231, 148
484, 418
1175, 475
1099, 118
805, 418
315, 114
359, 216
667, 152
1138, 421
1443, 147
887, 315
292, 273
843, 73
110, 24
271, 72
0, 145
93, 329
66, 19
1387, 380
1011, 415
446, 71
1481, 335
1140, 217
352, 302
1432, 480
1344, 132
1188, 300
1022, 414
1469, 497
1480, 166
95, 330
1168, 288
150, 403
1495, 486
1410, 123
712, 314
1146, 426
430, 71
764, 39
354, 365
720, 449
1197, 362
850, 13
1483, 173
684, 410
1012, 368
296, 411
1162, 45
1089, 458
488, 334
1141, 100
1267, 344
34, 43
990, 312
1043, 61
1374, 46
826, 337
831, 254
1159, 167
1078, 92
461, 222
821, 14
705, 139
1157, 261
1187, 150
1176, 11
24, 209
848, 168
343, 380
1075, 404
351, 431
1149, 125
796, 269
1052, 178
313, 376
747, 212
502, 316
1156, 26
1161, 195
399, 125
1099, 398
22, 158
1449, 78
835, 485
338, 112
359, 89
1133, 276
744, 18
449, 433
13, 414
1231, 274
323, 121
766, 321
1187, 64
1273, 460
1295, 240
647, 411
1174, 170
286, 385
847, 411
848, 157
790, 275
825, 318
12, 205
275, 103
1490, 326
425, 332
604, 196
715, 15
297, 165
759, 487
1161, 153
1159, 113
759, 259
1478, 329
429, 262
1028, 216
1207, 107
826, 498
835, 482
41, 52
779, 50
388, 137
328, 174
1187, 5
26, 50
382, 202
1110, 407
1154, 267
411, 483
95, 186
792, 449
1014, 389
329, 56
1062, 405
302, 374
701, 219
1433, 62
713, 214
346, 345
1426, 17
627, 245
28, 247
316, 122
752, 161
50, 133
640, 55
7, 24
1217, 458
793, 372
359, 178
786, 49
354, 62
791, 76
790, 440
54, 36
401, 124
655, 330
326, 168
105, 455
1108, 77
816, 427
824, 11
293, 225
44, 108
1466, 191
295, 93
843, 375
1198, 14
1169, 381
1349, 304
1105, 327
645, 14
596, 206
1069, 494
1055, 190
750, 287
76, 495
1073, 396
1134, 192
1023, 431
375, 177
1349, 148
362, 5
55, 18
792, 480
443, 391
72, 249
1011, 471
850, 215
1357, 268
31, 279
1110, 369
455, 305
737, 208
444, 57
1159, 71
1357, 356
135, 450
784, 214
1413, 142
1151, 20
309, 235
34, 336
1065, 69
752, 60
291, 258
1206, 319
1252, 190
1376, 365
801, 274
331, 288
1094, 63
687, 335
722, 448
732, 397
1087, 153
471, 269
75, 194
749, 302
899, 491
58, 397
1471, 461
359, 249
1440, 72
1197, 346
1493, 259
37, 272
1395, 196
463, 319
1258, 320
881, 439
1474, 186
269, 367
1226, 273
1226, 52
65, 322
1193, 242
792, 99
800, 313
658, 227
740, 18
348, 53
1126, 270
32, 172
1071, 385
440, 307
419, 303
1340, 326
4, 274
987, 151
702, 205
1155, 303
880, 159
1432, 1
1191, 375
1180, 205
1452, 78
119, 275
1200, 356
757, 51
100, 262
1461, 108
765, 47
9, 171
1454, 277
357, 39
805, 58
801, 259
847, 400
655, 462
1247, 124
1162, 228
767, 68
89, 444
261, 350
1223, 283
345, 141
325, 53
369, 387
754, 493
1072, 265
308, 274
1382, 266
1100, 228
694, 114
1189, 325
460, 75
352, 280
20, 236
29, 151
262, 456
1098, 469
1096, 497
42, 179
407, 366
776, 181
1079, 456
1117, 101
86, 477
717, 88
1131, 288
1117, 311
390, 444
849, 196
1132, 240
1016, 259
387, 496
765, 41
1148, 456
1479, 170
851, 429
1126, 360
1260, 132
443, 200
1184, 122
1447, 374
51, 249
1164, 6
815, 365
113, 446
1354, 355
462, 224
778, 379
803, 272
382, 271
286, 127
71, 301
726, 2
1168, 142
840, 426
300, 336
726, 451
76, 343
1150, 309
1121, 458
1454, 269
1404, 418
397, 78
1465, 450
1155, 94
798, 179
1185, 327
699, 394
40, 358
692, 7
627, 156
1205, 145
620, 240
359, 181
473, 408
727, 79
1393, 212
297, 179
1486, 173
813, 357
672, 454
338, 103
1087, 449
459, 422
853, 93
792, 282
1161, 71
1096, 223
319, 69
1172, 65
263, 290
1050, 211
74, 233
820, 333
1359, 87
28, 365
1150, 224
1205, 88
1154, 36
789, 207
41, 345
1421, 112
738, 486
263, 492
1279, 454
419, 331
1087, 262
366, 436
710, 319
243, 84
390, 225
421, 434
98, 224
341, 98
446, 445
1117, 166
331, 414
1444, 155
461, 173
363, 340
1134, 146
109, 152
379, 293
367, 446
406, 31
1101, 112
1128, 363
1159, 400
463, 45
429, 398
1072, 263
37, 68
505, 411
694, 197
768, 80
749, 279
1098, 217
800, 387
726, 464
415, 33
1216, 39
795, 128
384, 474
38, 466
780, 26
1187, 418
794, 404
1363, 13
374, 78
265, 87
1202, 496
1215, 276
746, 175
791, 188
1152, 380
1452, 127
1038, 214
371, 52
1209, 136
292, 10
788, 382
1415, 191
1389, 268
244, 492
706, 82
354, 69
1450, 76
1060, 484
1068, 222
1195, 179
18, 296
986, 220
720, 211
35, 162
623, 166
340, 17
1210, 123
341, 4
1085, 241
720, 417
299, 63
1271, 387
785, 359
344, 63
731, 280
1193, 219
789, 260
1176, 403
1022, 302
818, 343
1207, 239
727, 252
1099, 86
425, 367
1124, 337
1456, 100
1055, 119
247, 474
845, 406
428, 214
1386, 367
1374, 300
335, 260
675, 350
114, 320
345, 271
640, 250
710, 270
309, 150
817, 486
81, 51
708, 344
783, 244
628, 128
1494, 63
1062, 452
477, 414
1067, 68
1039, 37
856, 90
1057, 473
140, 93
22, 293
86, 487
1490, 320
790, 325
1423, 174
280, 264
409, 25
698, 425
777, 97
1097, 422
839, 457
624, 137
808, 479
395, 241
1062, 340
251, 354
83, 500
385, 289
705, 95
92, 86
1024, 477
48, 152
741, 401
654, 474
1438, 147
443, 332
431, 44
61, 171
822, 325
1489, 356
732, 116
1493, 448
1026, 373
1136, 96
1219, 7
92, 53
686, 454
797, 177
412, 305
368, 286
291, 44
1112, 87
35, 230
596, 87
1208, 277
298, 234
1171, 300
1098, 187
0, 83
356, 31
819, 326
641, 235
305, 100
804, 303
732, 25
1474, 303
850, 100
827, 323
917, 146
814, 452
1187, 67
351, 261
1212, 93
786, 298
365, 470
849, 78
1113, 469
1168, 338
685, 349
809, 2
1092, 276
775, 249
1472, 44
337, 232
1456, 195
1421, 77
11, 191
110, 228
788, 398
1135, 172
765, 469
843, 318
61, 61
482, 430
663, 227
73, 401
1186, 26
63, 162
404, 267
1379, 31
744, 290
1192, 204
1445, 406
1100, 286
676, 146
1447, 23
1375, 451
747, 233
265, 76
366, 403
687, 118
2, 267
407, 462
688, 480
761, 195
38, 273
687, 228
1472, 13
886, 356
801, 457
1462, 194
745, 408
30, 454
1230, 140
45, 93
354, 415
275, 78
740, 101
275, 102
285, 235
1147, 95
1044, 497
762, 460
777, 284
66, 100
1281, 424
838, 209
371, 343
1152, 273
7, 438
19, 380
762, 214
1478, 172
423, 68
452, 104
763, 183
422, 30
1030, 128
1206, 440
469, 452
1048, 198
1229, 443
714, 8
1103, 184
1443, 441
1497, 135
1156, 120
59, 142
1047, 316
327, 310
1155, 214
653, 66
468, 188
1489, 200
717, 273
1135, 112
738, 59
1128, 266
459, 17
1014, 129
710, 61
316, 403
315, 360
858, 49
779, 420
698, 7
765, 404
1107, 474
764, 403
778, 436
1424, 94
746, 61
1019, 317
1154, 365
740, 463
1431, 40
339, 487
1158, 296
845, 84
67, 456
70, 231
769, 281
819, 324
834, 283
351, 114
981, 19
302, 2
1487, 309
1216, 260
810, 309
25, 259
791, 147
415, 159
340, 302
1412, 359
736, 445
1070, 161
1202, 344
320, 333
746, 335
731, 192
50, 142
789, 463
141, 132
395, 7
409, 298
1127, 97
798, 328
748, 243
779, 7
796, 197
1076, 100
285, 382
385, 254
792, 261
1434, 183
831, 33
815, 284
646, 471
1420, 450
390, 370
776, 495
1277, 453
1455, 181
753, 94
478, 300
330, 64
698, 305
1379, 291
3, 500
364, 136
485, 212
858, 117
102, 185
846, 68
15, 283
1479, 77
719, 407
430, 482
1435, 130
1269, 256
840, 445
739, 73
425, 48
11, 310
455, 409
661, 371
28, 460
1032, 343
1484, 298
1387, 33
94, 1
709, 215
391, 133
355, 420
1450, 350
324, 402
849, 82
869, 316
1428, 398
92, 351
428, 425
1063, 322
744, 242
415, 327
333, 133
63, 283
33, 80
1044, 255
775, 357
1458, 57
249, 268
382, 181
726, 33
27, 130
1056, 237
38, 326
798, 204
1441, 114
298, 339
1465, 63
291, 84
1151, 204
1412, 482
118, 315
250, 363
1424, 432
451, 396
1370, 230
1052, 36
1192, 496
494, 417
1204, 493
661, 316
1181, 175
793, 394
1436, 460
1493, 92
8, 88
1178, 222
386, 382
478, 300
605, 440
116, 442
25, 93
1128, 316
1203, 197
1482, 494
364, 163
792, 273
1388, 348
898, 210
1064, 362
715, 152
1468, 208
1456, 325
773, 103
1140, 210
595, 227
307, 297
399, 305
1114, 134
296, 498
1493, 341
1086, 106
816, 160
404, 117
1224, 39
1029, 19
733, 130
1119, 284
44, 323
789, 31
107, 445
1399, 60
834, 401
1143, 483
1057, 390
1254, 87
479, 155
405, 303
1445, 478
95, 277
438, 30
1143, 89
342, 297
1075, 416
636, 351
703, 130
1269, 276
19, 77
288, 167
864, 275
1201, 389
776, 108
771, 68
335, 74
630, 10
675, 400
711, 495
724, 269
1487, 78
442, 81
1129, 241
1172, 35
1192, 272
59, 352
802, 17
796, 430
486, 187
308, 1
1229, 183
1407, 221
13, 132
1350, 398
461, 340
997, 252
1192, 141
350, 133
744, 90
1392, 171
1407, 349
678, 76
1141, 85
713, 91
826, 470
703, 61
1093, 135
810, 411
493, 32
655, 47
643, 335
379, 389
681, 412
1393, 237
418, 9
842, 363
459, 197
761, 197
1453, 116
254, 460
142, 398
1186, 495
64, 170
1089, 7
302, 38
376, 315
835, 180
1469, 270
324, 333
1399, 383
493, 259
305, 56
1432, 65
796, 289
802, 160
804, 166
795, 45
416, 352
352, 84
643, 250
486, 164
1491, 247
330, 393
1472, 30
1145, 241
843, 480
735, 66
161, 438
808, 299
1120, 123
402, 257
427, 275
393, 328
477, 14
1137, 420
59, 253
448, 426
54, 242
404, 132
449, 223
1204, 380
1122, 160
637, 416
726, 493
23, 423
355, 18
447, 77
1226, 183
436, 76
1113, 453
34, 127
32, 268
409, 417
789, 23
1139, 432
248, 185
997, 413
111, 108
1437, 454
796, 427
1139, 494
728, 176
638, 192
703, 267
852, 113
38, 418
1393, 15
798, 123
1155, 350
744, 125
360, 229
742, 55
11, 210
1366, 485
785, 406
864, 376
841, 146
1103, 399
1445, 133
791, 326
387, 485
883, 354
1162, 143
1196, 312
1085, 203
370, 138
15, 276
1104, 27
822, 383
1006, 20
701, 403
355, 303
270, 162
1107, 244
802, 214
507, 428
478, 55
1456, 245
1230, 299
1484, 206
442, 346
1141, 488
53, 464
1191, 437
753, 202
791, 151
20, 288
675, 254
2, 469
291, 263
772, 90
1419, 370
316, 499
509, 170
407, 210
282, 345
1059, 344
789, 295
1117, 247
489, 276
22, 156
306, 62
1479, 253
291, 122
41, 201
4, 375
462, 122
402, 369
426, 249
314, 97
379, 203
1040, 70
1231, 214
1461, 349
353, 396
744, 276
791, 382
1473, 381
441, 393
278, 174
349, 243
848, 342
1101, 3
693, 473
98, 193
772, 88
35, 148
1138, 449
697, 316
679, 407
1083, 443
1168, 200
339, 444
746, 347
1461, 16
301, 120
1161, 373
1422, 172
1145, 400
748, 328
340, 116
1116, 302
87, 222
1187, 192
1405, 254
1267, 482
36, 453
356, 388
282, 337
1161, 353
831, 201
1089, 80
352, 281
831, 425
280, 350
685, 23
708, 471
782, 243
38, 225
766, 249
1468, 71
813, 386
1214, 315
1403, 27
732, 68
709, 382
710, 465
490, 284
0, 298
46, 36
1080, 155
1020, 101
325, 415
1191, 287
1451, 388
731, 310
755, 368
1393, 30
773, 306
360, 231
736, 36
1179, 212
878, 318
1006, 341
1182, 285
1493, 382
821, 293
853, 333
462, 53
771, 215
1097, 261
378, 461
1231, 481
379, 102
778, 379
918, 200
1386, 171
336, 121
464, 346
710, 192
686, 274
1069, 172
356, 82
77, 371
96, 133
1461, 71
761, 349
638, 357
1037, 421
1058, 168
1424, 269
793, 65
8, 209
1178, 254
30, 454
268, 417
1466, 74
347, 496
60, 499
736, 478
1233, 328
1201, 69
12, 301
727, 302
455, 123
700, 348
1146, 450
1443, 414
407, 383
425, 336
823, 187
420, 62
781, 13
68, 149
1168, 269
1162, 250
830, 263
771, 498
773, 208
1252, 359
731, 480
333, 221
1464, 250
1064, 187
864, 378
295, 428
370, 256
33, 287
348, 244
654, 285
1055, 254
1060, 442
167, 292
1241, 326
822, 198
818, 197
1052, 104
1126, 477
1121, 466
1052, 84
309, 278
819, 219
83, 478
450, 468
69, 397
846, 324
11, 9
1440, 343
8, 224
367, 206
785, 219
690, 258
1070, 5
339, 45
4, 455
1052, 227
1375, 392
450, 432
1221, 85
321, 371
330, 482
1113, 448
1098, 249
1399, 137
1025, 253
1424, 382
320, 138
1061, 416
745, 327
354, 495
254, 23
1200, 49
1148, 311
1240, 169
1084, 215
1394, 320
91, 445
866, 433
830, 148
7, 171
275, 83
426, 288
24, 315
1479, 409
1213, 303
367, 334
1491, 241
1433, 74
1228, 190
1432, 254
1083, 315
436, 363
1403, 347
799, 169
727, 233
696, 500
1243, 95
335, 466
1079, 327
307, 241
685, 445
451, 196
696, 98
1152, 95
98, 325
1090, 444
1024, 371
1177, 1
752, 345
112, 410
800, 85
388, 185
1120, 346
1207, 302
30, 80
1349, 464
1088, 230
1117, 210
34, 209
664, 459
1434, 468
382, 354
1174, 409
809, 144
768, 262
1169, 193
1452, 144
351, 152
650, 75
385, 299
19, 87
1408, 244
1434, 70
686, 423
821, 468
1166, 132
1364, 116
371, 26
1247, 487
273, 221
832, 194
311, 443
679, 151
1121, 181
474, 0
692, 333
815, 247
40, 212
767, 126
828, 282
1109, 107
205, 482
291, 55
404, 123
371, 370
299, 382
768, 247
1227, 224
383, 188
411, 222
1135, 271
688, 296
684, 202
367, 51
74, 495
1049, 71
458, 164
432, 115
381, 418
363, 151
1496, 313
717, 381
1256, 329
1408, 183
1170, 264
1123, 284
1204, 333
54, 112
349, 436
83, 287
357, 447
1387, 484
1080, 493
1164, 351
775, 53
1405, 225
1120, 417
999, 165
316, 74
686, 296
396, 288
16, 170
1486, 62
806, 403
599, 453
307, 216
1125, 160
315, 82
1043, 319
1079, 281
70, 408
381, 148
1156, 159
404, 177
831, 301
390, 415
377, 320
377, 365
733, 319
746, 338
429, 338
716, 366
1019, 234
304, 3
56, 117
1276, 420
1109, 131
873, 460
1089, 408
326, 99
1428, 92
1094, 359
273, 134
1195, 225
1464, 205
1480, 91
730, 350
413, 358
766, 401
1015, 41
1496, 375
1053, 155
670, 232
767, 54
8, 92
1474, 420
85, 420
666, 368
342, 125
384, 15
1024, 389
743, 48
289, 436
1068, 244
97, 204
1181, 45
609, 63
1177, 189
750, 227
750, 372
700, 347
249, 188
727, 202
726, 36
1144, 4
512, 243
116, 499
1465, 78
443, 395
873, 290
1159, 126
1462, 221
1109, 218
1199, 193
748, 215
1035, 155
37, 170
125, 106
291, 18
91, 77
1145, 320
434, 409
672, 369
704, 328
782, 339
687, 429
794, 83
720, 33
1109, 59
254, 307
833, 285
1043, 178
1161, 281
16, 22
336, 397
1237, 125
331, 457
1450, 366
1121, 321
1011, 215
1217, 205
267, 304
59, 223
824, 272
723, 353
1077, 423
1132, 41
426, 232
320, 231
712, 461
1141, 70
382, 358
1047, 451
658, 400
1103, 276
115, 12
1102, 125
21, 24
1437, 231
466, 13
1175, 188
1037, 193
356, 399
334, 243
17, 27
262, 279
290, 25
1092, 384
1010, 241
1000, 62
715, 431
102, 391
508, 286
761, 495
372, 425
1011, 313
375, 143
1182, 81
1481, 11
1215, 93
1050, 332
368, 393
396, 370
395, 131
482, 367
446, 245
1495, 353
655, 243
411, 379
73, 64
273, 115
305, 223
10, 269
651, 38
1183, 7
335, 296
1424, 351
1269, 45
801, 428
439, 63
777, 266
39, 450
1064, 194
786, 366
1495, 411
1050, 445
1387, 76
275, 438
287, 413
71, 28
1234, 463
1405, 31
39, 257
60, 50
1073, 354
808, 16
522, 189
1458, 352
1196, 372
1073, 307
270, 34
1128, 283
672, 426
789, 14
742, 111
404, 212
82, 165
1480, 181
1079, 238
36, 456
1104, 297
540, 3
379, 146
1029, 336
425, 469
859, 56
800, 349
1109, 140
398, 14
1082, 259
707, 137
1214, 223
371, 90
346, 359
354, 24
370, 188
119, 401
1450, 433
1091, 436
374, 494
1185, 13
1471, 339
28, 496
1351, 182
324, 206
1147, 126
1015, 18
179, 450
45, 236
1091, 7
805, 213
1423, 409
711, 219
97, 119
479, 479
740, 18
1020, 215
661, 381
1130, 428
60, 195
5, 472
1022, 40
1054, 474
266, 129
367, 317
405, 209
757, 195
334, 7
439, 66
371, 428
310, 258
289, 363
387, 425
704, 246
353, 367
1131, 41
449, 91
590, 431
719, 333
774, 434
1477, 437
700, 417
1059, 354
808, 354
221, 264
774, 203
657, 499
267, 256
1217, 106
1112, 335
840, 195
1096, 167
